Ligand,Chemical_Name,SMILES
Ligand_0001,3-methylpentane,CCC(C)CC
Ligand_0002,"2,4-dimethylpentane",CC(C)CC(C)C
Ligand_0003,1-pentene,C=CCCC
Ligand_0004,cyclohexene,C1=CCCCC1
Ligand_0005,"1,4-pentadiene",C=CCC=C
Ligand_0006,cycloheptatriene,C1=CC=CCC=C1
Ligand_0007,1-octyne,C#CCCCCCC
Ligand_0008,ethylbenzene,CCc1ccccc1
Ligand_0009,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1
Ligand_0010,indane,c1ccc2c(c1)CCC2
Ligand_0011,isobutylbenzene,CC(C)Cc1ccccc1
Ligand_0012,n-hexylbenzene,CCCCCCc1ccccc1
Ligand_0013,bibenzyl,c1ccc(CCc2ccccc2)cc1
Ligand_0014,1-ethylnaphthalene,CCc1cccc2ccccc12
Ligand_0015,"1,3-dimethylnaphthalene",Cc1cc(C)c2ccccc2c1
Ligand_0016,anthracene,c1ccc2cc3ccccc3cc2c1
Ligand_0017,"9,10-dimethylanthracene",Cc1c2ccccc2c(C)c2ccccc12
Ligand_0018,naphthacene,c1ccc2cc3cc4ccccc4cc3cc2c1
Ligand_0019,chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21
Ligand_0020,"1,7-phenantroline",c1ccc2c(c1)ccc1nccnc12
Ligand_0021,6-aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12
Ligand_0022,3-methylcholanthrene,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
Ligand_0023,dibromomethane,BrCBr
Ligand_0024,tetrachloromethane,ClC(Cl)(Cl)Cl
Ligand_0025,"1,2-dichloroethane",ClCCCl
Ligand_0026,"1,1,2,2-tetrachloroethane",ClC(Cl)C(Cl)Cl
Ligand_0027,1-chloropropane,CCCCl
Ligand_0028,2-iodopropane,CC(C)I
Ligand_0029,"1,2-dibromopropane",CC(Br)CBr
Ligand_0030,1-bromobutane,CCCCBr
Ligand_0031,"2,3-dichlorobutane",CC(Cl)C(C)Cl
Ligand_0032,1-bromo-3-methylbutane,CC(C)CCBr
Ligand_0033,1-bromooctane,CCCCCCCCBr
Ligand_0034,1-bromoheptane,CCCCCCCBr
Ligand_0035,"1,2-dibromoethylene",BrC=CBr
Ligand_0036,heptachlor,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
Ligand_0037,hexachlorobutadiene,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
Ligand_0038,bromobenzene,Brc1ccccc1
Ligand_0039,1-bromo-2-chlorobenzene,Clc1ccccc1Br
Ligand_0040,"1,3-dibromobenzene",Brc1cccc(Br)c1
Ligand_0041,"1,2,4-tribromobenzene",Brc1ccc(Br)c(Br)c1
Ligand_0042,pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
Ligand_0043,m-difluorobenzene,Fc1cccc(F)c1
Ligand_0044,4-chlorobiphenyl,Clc1ccc(-c2ccccc2)cc1
Ligand_0045,"2,4ﾴ-PCB",Clc1ccc(-c2ccccc2Cl)cc1
Ligand_0046,"2,2ﾴ,5-PCB",Clc1ccc(Cl)c(-c2ccccc2Cl)c1
Ligand_0047,"2ﾴ,3,4-PCB",Clc1ccc(-c2ccccc2Cl)cc1Cl
Ligand_0048,"2,3,4,5-PCB",Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl
Ligand_0049,"2,2ﾴ,5,6ﾴ-PCB",Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1
Ligand_0050,"2,2ﾴ,3,4,5ﾴ-PCB",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1
Ligand_0051,"2,3,4,5,6-PCB",Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl
Ligand_0052,"2,2ﾴ,3,4,5,5ﾴ-PCB",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
Ligand_0053,"2,2ﾴ,3,3ﾴ,4,4ﾴ-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
