Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,O=S1(=O)NC(Cc2ccccc2)Nc2c1cc(c(c2)C(F)(F)F)S(=O)(=O)N,C15H14F3N3O4S2,421.41,27,12,0.20,4,9,3,96.86,135.12,n/d,1.19,3.99,1.27,0.78,1.81,-3.27,2.28e-01,5.40e-04,Soluble,-3.62,1.00e-01,2.38e-04,Soluble,-5.75,7.58e-04,1.80e-06,Moderately soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-8.03,0,0,0,1,0,0.55,0,0,1,3.86
Molecule 2,OC1CCC2(C(C1)C(O)C(C1C2CCC2(C1CCC2C(CCC(=O)O)C)C)O)C,C24H40O5,408.57,29,0,0.96,4,5,4,113.76,97.99,n/d,2.80,3.45,3.05,2.53,2.96,-3.87,5.47e-02,1.34e-04,Soluble,-4.51,1.25e-02,3.06e-05,Moderately soluble,-2.31,2.00e+00,4.89e-03,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-6.80,0,0,0,0,0,0.56,0,0,1,5.29
Molecule 3,COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl,C23H28ClN3O5S,494.00,33,12,0.39,11,5,3,126.25,121.98,n/d,4.81,4.72,2.58,3.00,3.78,-5.48,1.65e-03,3.34e-06,Moderately soluble,-7.10,3.89e-05,7.87e-08,Poorly soluble,-7.71,9.63e-06,1.95e-08,Poorly soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-5.90,0,1,1,0,0,0.55,0,0,3,3.34
Molecule 4,Cc1ccc2c3c1CCc3c1c(c2)c2ccccc2cc1,C21H16,268.35,21,18,0.14,0,0,0,91.74,0.00,n/d,6.42,5.55,6.26,6.47,6.17,-6.18,1.76e-04,6.57e-07,Poorly soluble,-6.21,1.64e-04,6.12e-07,Poorly soluble,-8.36,1.16e-06,4.34e-09,Poorly soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-3.38,1,0,0,0,2,0.55,0,2,1,1.96
Molecule 5,Cn1cc(c2cccc(c2)C(F)(F)F)c(=O)c(c1)c1ccccc1,C19H14F3NO,329.32,24,18,0.11,3,4,0,87.84,22.00,n/d,5.61,5.89,3.54,4.34,4.84,-5.77,5.55e-04,1.69e-06,Moderately soluble,-5.83,4.82e-04,1.46e-06,Moderately soluble,-4.63,7.72e-03,2.34e-05,Moderately soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-4.33,0,1,0,1,1,0.55,0,0,1,2.62
Molecule 6,Oc1ccc(c(c1)O)c1oc2cc(O)cc(c2c(=O)c1O)O,C15H10O7,302.24,22,16,0.00,1,7,5,78.04,131.36,n/d,1.59,1.99,-0.56,0.14,0.79,-3.19,1.96e-01,6.49e-04,Soluble,-3.96,3.32e-02,1.10e-04,Soluble,-2.77,5.07e-01,1.68e-03,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.01,0,0,0,0,0,0.55,0,0,0,3.25
Molecule 7,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC(C3)O)C,C27H42O3,414.62,30,0,0.93,0,3,1,121.59,38.69,n/d,5.67,5.71,4.94,4.29,5.15,-5.98,4.31e-04,1.04e-06,Moderately soluble,-6.25,2.35e-04,5.66e-07,Poorly soluble,-4.49,1.34e-02,3.22e-05,Moderately soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-4.80,1,2,0,0,1,0.55,0,1,2,6.94
Molecule 8,O=C1C=C2CC3(C(=C2C=C1O)c1ccc(c(c1OC3)O)O)O,C16H12O6,300.26,22,6,0.19,0,6,4,76.40,107.22,n/d,-0.23,1.33,-0.12,1.17,0.54,-1.76,5.24e+00,1.74e-02,Very soluble,-1.56,8.19e+00,2.73e-02,Very soluble,-1.95,3.40e+00,1.13e-02,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-8.29,0,0,0,0,0,0.55,1,1,0,3.93
Molecule 9,CC1CC(C)C(=O)C(C1)C(CC1CC(=O)NC(=O)C1)O,C15H23NO4,281.35,20,0,0.80,3,4,2,78.47,83.47,n/d,0.55,0.66,1.19,1.92,1.08,-1.73,5.20e+00,1.85e-02,Very soluble,-1.87,3.75e+00,1.33e-02,Very soluble,-2.38,1.17e+00,4.16e-03,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.63,0,0,0,0,0,0.55,0,1,0,3.17
Molecule 10,Nc1cc2c(c3c1cccc3)ccc1c2cccc1,C18H13N,243.30,19,18,0.00,0,0,1,83.36,26.02,n/d,4.98,4.74,4.25,4.33,4.58,-5.19,1.58e-03,6.50e-06,Moderately soluble,-5.27,1.32e-03,5.43e-06,Moderately soluble,-7.07,2.07e-05,8.49e-08,Poorly soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-4.25,1,0,0,0,1,0.55,0,2,2,1.00
