Ligand,Affinity (kcal/mol)
Ligand_0001.pdbqt,-3.561
Ligand_0002.pdbqt,-3.733
Ligand_0003.pdbqt,-3.357
Ligand_0004.pdbqt,-3.558
Ligand_0005.pdbqt,-3.316
Ligand_0006.pdbqt,-3.836
Ligand_0007.pdbqt,-3.776
Ligand_0008.pdbqt,-4.579
Ligand_0009.pdbqt,-4.575
Ligand_0010.pdbqt,-4.733
Ligand_0011.pdbqt,-4.809
Ligand_0012.pdbqt,-4.841
Ligand_0013.pdbqt,-5.611
Ligand_0014.pdbqt,-5.492
Ligand_0015.pdbqt,-5.616
Ligand_0016.pdbqt,-5.947
Ligand_0017.pdbqt,-6.283
Ligand_0018.pdbqt,-6.675
Ligand_0019.pdbqt,-6.576
Ligand_0020.pdbqt,-5.904
Ligand_0021.pdbqt,-7.052
Ligand_0022.pdbqt,-7.507
Ligand_0023.pdbqt,-1.992
Ligand_0024.pdbqt,-2.43
Ligand_0025.pdbqt,-2.422
Ligand_0026.pdbqt,-3.293
Ligand_0027.pdbqt,-2.703
Ligand_0028.pdbqt,-2.587
Ligand_0029.pdbqt,-2.657
Ligand_0030.pdbqt,-3.068
Ligand_0031.pdbqt,-3.304
Ligand_0032.pdbqt,-3.429
Ligand_0033.pdbqt,-3.835
Ligand_0034.pdbqt,-3.845
Ligand_0035.pdbqt,-2.418
Ligand_0036.pdbqt,-5.315
Ligand_0037.pdbqt,-3.533
Ligand_0038.pdbqt,-3.952
Ligand_0039.pdbqt,-4.27
Ligand_0040.pdbqt,-4.007
Ligand_0041.pdbqt,-4.298
Ligand_0042.pdbqt,-4.594
Ligand_0043.pdbqt,-4.304
Ligand_0044.pdbqt,-5.49
Ligand_0045.pdbqt,-5.69
Ligand_0046.pdbqt,-5.362
Ligand_0047.pdbqt,-6.143
Ligand_0048.pdbqt,-5.994
Ligand_0049.pdbqt,-5.353
Ligand_0050.pdbqt,-5.525
Ligand_0051.pdbqt,-5.816
Ligand_0052.pdbqt,-5.765
Ligand_0053.pdbqt,-5.51
Ligand_0054.pdbqt,-5.54
Ligand_0055.pdbqt,-5.732
Ligand_0056.pdbqt,-5.218
Ligand_0057.pdbqt,-3.737
Ligand_0058.pdbqt,-3.211
Ligand_0059.pdbqt,-4.014
Ligand_0060.pdbqt,-4.034
Ligand_0061.pdbqt,-3.349
Ligand_0062.pdbqt,-4.155
Ligand_0063.pdbqt,-3.933
Ligand_0064.pdbqt,-3.998
Ligand_0065.pdbqt,-3.529
Ligand_0066.pdbqt,-4.122
Ligand_0067.pdbqt,-4.247
Ligand_0068.pdbqt,-4.825
Ligand_0069.pdbqt,-4.654
Ligand_0070.pdbqt,-4.606
Ligand_0071.pdbqt,-5.34
Ligand_0072.pdbqt,-5.609
Ligand_0073.pdbqt,-3.164
Ligand_0074.pdbqt,-3.873
Ligand_0075.pdbqt,-3.95
Ligand_0076.pdbqt,-3.844
Ligand_0077.pdbqt,-4.185
Ligand_0078.pdbqt,-4.144
Ligand_0079.pdbqt,-5.741
Ligand_0080.pdbqt,-4.594
Ligand_0081.pdbqt,-4.537
Ligand_0082.pdbqt,-5.041
Ligand_0083.pdbqt,-4.723
Ligand_0084.pdbqt,-5.953
Ligand_0085.pdbqt,-5.604
Ligand_0086.pdbqt,-4.723
Ligand_0087.pdbqt,-3.122
Ligand_0088.pdbqt,-3.638
Ligand_0089.pdbqt,-4.048
Ligand_0090.pdbqt,-4.171
Ligand_0091.pdbqt,-4.309
Ligand_0092.pdbqt,-4.12
Ligand_0093.pdbqt,-4.649
Ligand_0094.pdbqt,-5.291
Ligand_0095.pdbqt,-2.711
Ligand_0096.pdbqt,-2.893
Ligand_0097.pdbqt,-3.282
Ligand_0098.pdbqt,-4.139
Ligand_0099.pdbqt,-4.699
Ligand_0100.pdbqt,-3.694
Ligand_0101.pdbqt,-7.007
Ligand_0102.pdbqt,-7.003
Ligand_0103.pdbqt,-6.654
Ligand_0104.pdbqt,NA
Ligand_0105.pdbqt,-5.209
Ligand_0106.pdbqt,-5.141
Ligand_0107.pdbqt,-4.494
Ligand_0108.pdbqt,-4.282
Ligand_0109.pdbqt,-5.149
Ligand_0110.pdbqt,-5.47
Ligand_0111.pdbqt,-3.768
Ligand_0112.pdbqt,-4.107
Ligand_0113.pdbqt,-4.133
Ligand_0114.pdbqt,-4.326
Ligand_0115.pdbqt,-4.696
Ligand_0116.pdbqt,-4.322
Ligand_0117.pdbqt,-4.91
Ligand_0118.pdbqt,-4.474
Ligand_0119.pdbqt,-3.921
Ligand_0120.pdbqt,-2.983
Ligand_0121.pdbqt,-4.34
Ligand_0122.pdbqt,-5.273
Ligand_0123.pdbqt,-4.784
Ligand_0124.pdbqt,-5.713
Ligand_0125.pdbqt,-5.94
Ligand_0126.pdbqt,-5.479
Ligand_0127.pdbqt,-6.525
Ligand_0128.pdbqt,-5.59
Ligand_0129.pdbqt,-4.521
Ligand_0130.pdbqt,-4.856
Ligand_0131.pdbqt,-6.347
Ligand_0132.pdbqt,-3.942
Ligand_0133.pdbqt,-6.168
Ligand_0134.pdbqt,-6.132
Ligand_0135.pdbqt,-6.169
Ligand_0136.pdbqt,-5.837
Ligand_0137.pdbqt,-6.099
Ligand_0138.pdbqt,-6.444
Ligand_0139.pdbqt,-6.066
Ligand_0140.pdbqt,-6.878
Ligand_0141.pdbqt,-5.843
Ligand_0142.pdbqt,-4.719
Ligand_0143.pdbqt,-7.118
Ligand_0144.pdbqt,-3.481
Ligand_0145.pdbqt,-4.069
Ligand_0146.pdbqt,-3.609
Ligand_0147.pdbqt,-3.73
Ligand_0148.pdbqt,-3.588
Ligand_0149.pdbqt,-6.224
Ligand_0150.pdbqt,-3.233
Ligand_0151.pdbqt,-3.377
Ligand_0152.pdbqt,-5.061
Ligand_0153.pdbqt,-3.538
Ligand_0154.pdbqt,-5.381
Ligand_0155.pdbqt,-5.597
Ligand_0156.pdbqt,-4.123
Ligand_0157.pdbqt,-3.979
Ligand_0158.pdbqt,-4.75
Ligand_0159.pdbqt,-7.476
Ligand_0160.pdbqt,-5.059
Ligand_0161.pdbqt,-4.604
Ligand_0162.pdbqt,-1.874
Ligand_0163.pdbqt,-2.876
Ligand_0164.pdbqt,-5.341
Ligand_0165.pdbqt,-3.865
Ligand_0166.pdbqt,-4.478
Ligand_0167.pdbqt,-4.668
Ligand_0168.pdbqt,-4.186
Ligand_0169.pdbqt,-7.763
Ligand_0170.pdbqt,-3.882
Ligand_0171.pdbqt,-5.195
Ligand_0172.pdbqt,-5.665
Ligand_0173.pdbqt,-7.044
Ligand_0174.pdbqt,-5.515
Ligand_0175.pdbqt,-6.329
Ligand_0176.pdbqt,-4.644
Ligand_0177.pdbqt,-4.685
Ligand_0178.pdbqt,-4.176
Ligand_0179.pdbqt,-5.151
Ligand_0180.pdbqt,-5.725
Ligand_0181.pdbqt,-4.987
Ligand_0182.pdbqt,-6.38
Ligand_0183.pdbqt,-4.892
Ligand_0184.pdbqt,-4.034
Ligand_0185.pdbqt,-4.883
Ligand_0186.pdbqt,-4.484
Ligand_0187.pdbqt,-3.795
Ligand_0188.pdbqt,-3.678
Ligand_0189.pdbqt,-3.922
Ligand_0190.pdbqt,-4.041
Ligand_0191.pdbqt,-3.319
Ligand_0192.pdbqt,-3.69
Ligand_0193.pdbqt,-4.643
Ligand_0194.pdbqt,-4.654
Ligand_0195.pdbqt,-4.662
Ligand_0196.pdbqt,-4.879
Ligand_0197.pdbqt,-3.564
Ligand_0198.pdbqt,-3.793
Ligand_0199.pdbqt,-4.938
Ligand_0200.pdbqt,-4.977
Ligand_0201.pdbqt,-4.831
Ligand_0202.pdbqt,-4.639
Ligand_0203.pdbqt,-4.757
Ligand_0204.pdbqt,-5.411
Ligand_0205.pdbqt,-5.024
Ligand_0206.pdbqt,-5.017
Ligand_0207.pdbqt,-4.496
Ligand_0208.pdbqt,-4.448
Ligand_0209.pdbqt,-4.356
Ligand_0210.pdbqt,-3.864
Ligand_0211.pdbqt,-4.997
Ligand_0212.pdbqt,-5.341
Ligand_0213.pdbqt,-4.979
Ligand_0214.pdbqt,-4.806
Ligand_0215.pdbqt,-4.565
Ligand_0216.pdbqt,-5.102
Ligand_0217.pdbqt,-5.661
Ligand_0218.pdbqt,-5.563
Ligand_0219.pdbqt,-5.129
Ligand_0220.pdbqt,-5.488
Ligand_0221.pdbqt,-4.235
Ligand_0222.pdbqt,-4.648
Ligand_0223.pdbqt,-5.41
Ligand_0224.pdbqt,-5.446
Ligand_0225.pdbqt,-4.375
Ligand_0226.pdbqt,-5.286
Ligand_0227.pdbqt,-5.052
Ligand_0228.pdbqt,-6.082
Ligand_0229.pdbqt,-5.883
Ligand_0230.pdbqt,-5.507
Ligand_0231.pdbqt,-5.24
Ligand_0232.pdbqt,-5.025
Ligand_0233.pdbqt,-5.132
Ligand_0234.pdbqt,-5.365
Ligand_0235.pdbqt,-5.316
Ligand_0236.pdbqt,-5.499
Ligand_0237.pdbqt,-5.624
Ligand_0238.pdbqt,-5.787
Ligand_0239.pdbqt,-4.954
Ligand_0240.pdbqt,-7.338
Ligand_0241.pdbqt,-8.188
Ligand_0242.pdbqt,-5.82
Ligand_0243.pdbqt,-4.626
Ligand_0244.pdbqt,-7.173
