Ligand,Affinity,Receptor
Ligand_0241.pdbqt,-8.188,6C12
Ligand_0169.pdbqt,-7.763,6C12
Ligand_0256.pdbqt,-7.679,6C12
Ligand_0022.pdbqt,-7.507,6C12
Ligand_0159.pdbqt,-7.476,6C12
Ligand_0240.pdbqt,-7.338,6C12
Ligand_0257.pdbqt,-7.211,6C12
Ligand_0244.pdbqt,-7.173,6C12
Ligand_0143.pdbqt,-7.118,6C12
Ligand_0021.pdbqt,-7.052,6C12
Ligand_0173.pdbqt,-7.044,6C12
Ligand_0101.pdbqt,-7.007,6C12
Ligand_0102.pdbqt,-7.003,6C12
Ligand_0251.pdbqt,-6.88,6C12
Ligand_0140.pdbqt,-6.878,6C12
Ligand_0018.pdbqt,-6.675,6C12
Ligand_0254.pdbqt,-6.668,6C12
Ligand_0103.pdbqt,-6.654,6C12
Ligand_0253.pdbqt,-6.613,6C12
Ligand_0019.pdbqt,-6.576,6C12
Ligand_0127.pdbqt,-6.525,6C12
Ligand_0245.pdbqt,-6.511,6C12
Ligand_0252.pdbqt,-6.471,6C12
Ligand_0255.pdbqt,-6.457,6C12
Ligand_0138.pdbqt,-6.444,6C12
Ligand_0182.pdbqt,-6.38,6C12
Ligand_0131.pdbqt,-6.347,6C12
Ligand_0175.pdbqt,-6.329,6C12
Ligand_0017.pdbqt,-6.283,6C12
Ligand_0249.pdbqt,-6.257,6C12
Ligand_0149.pdbqt,-6.224,6C12
Ligand_0135.pdbqt,-6.169,6C12
Ligand_0133.pdbqt,-6.168,6C12
Ligand_0047.pdbqt,-6.143,6C12
Ligand_0134.pdbqt,-6.132,6C12
Ligand_0137.pdbqt,-6.099,6C12
Ligand_0228.pdbqt,-6.082,6C12
Ligand_0139.pdbqt,-6.066,6C12
Ligand_0048.pdbqt,-5.994,6C12
Ligand_0248.pdbqt,-5.992,6C12
Ligand_0246.pdbqt,-5.967,6C12
Ligand_0084.pdbqt,-5.953,6C12
Ligand_0016.pdbqt,-5.947,6C12
Ligand_0125.pdbqt,-5.94,6C12
Ligand_0020.pdbqt,-5.904,6C12
Ligand_0250.pdbqt,-5.883,6C12
Ligand_0229.pdbqt,-5.883,6C12
Ligand_0247.pdbqt,-5.844,6C12
Ligand_0141.pdbqt,-5.843,6C12
Ligand_0136.pdbqt,-5.837,6C12
Ligand_0242.pdbqt,-5.82,6C12
Ligand_0051.pdbqt,-5.816,6C12
Ligand_0238.pdbqt,-5.787,6C12
Ligand_0052.pdbqt,-5.765,6C12
Ligand_0079.pdbqt,-5.741,6C12
Ligand_0055.pdbqt,-5.732,6C12
Ligand_0180.pdbqt,-5.725,6C12
Ligand_0124.pdbqt,-5.713,6C12
